case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/04/27 13:01:58.243,2018/04/27 13:01:58.243,R5
Case No. 1,UseTransport,2018/04/27 13:40:50.243,2018/04/27 13:40:50.243,R3
Case No. 1,UseTransport,2018/04/27 13:44:07.243,2018/04/27 13:44:07.243,R4
Case No. 1,CollectTickets,2018/04/27 13:49:04.243,2018/04/27 13:49:04.243,R5
Case No. 1,ArchiveDocuments,2018/04/27 13:51:41.243,2018/04/27 13:51:41.243,R4
Case No. 1,BookAccomodation,2018/04/27 13:58:07.243,2018/04/27 13:58:07.243,R5
Case No. 1,BookTransport,2018/04/27 14:57:50.243,2018/04/27 14:57:50.243,R3
Case No. 1,ApproveApplication,2018/04/27 15:20:57.243,2018/04/27 15:20:57.243,R3
Case No. 1,DoSomething,2018/04/27 15:23:44.243,2018/04/27 15:23:44.243,R2
Case No. 1,UseTransport,2018/04/27 15:43:03.243,2018/04/27 15:43:03.243,R2
Case No. 1,BookTransport,2018/04/27 15:50:00.243,2018/04/27 15:50:00.243,R2
Case No. 1,DoSomethingElse,2018/04/27 16:40:55.243,2018/04/27 16:40:55.243,R3
Case No. 2,ApplyForTrip,2018/04/27 13:12:08.015,2018/04/27 13:12:08.015,R5
Case No. 2,CollectTickets,2018/04/27 13:42:25.015,2018/04/27 13:42:25.015,R4
Case No. 2,BookTransport,2018/04/27 14:00:39.015,2018/04/27 14:00:39.015,R4
Case No. 2,DoSomethingElse,2018/04/27 14:12:14.015,2018/04/27 14:12:14.015,R4
Case No. 2,CollectTickets,2018/04/27 14:48:33.015,2018/04/27 14:48:33.015,R1
Case No. 2,ArchiveDocuments,2018/04/27 14:49:12.015,2018/04/27 14:49:12.015,R5
Case No. 2,BookAccomodation,2018/04/27 15:12:08.015,2018/04/27 15:12:08.015,R1
Case No. 2,ApproveApplication,2018/04/27 15:24:10.015,2018/04/27 15:24:10.015,R3
Case No. 2,UseTransport,2018/04/27 15:46:00.015,2018/04/27 15:46:00.015,R4
Case No. 2,DoSomethingElse,2018/04/27 16:11:51.015,2018/04/27 16:11:51.015,R4
Case No. 2,DoSomething,2018/04/27 16:34:59.015,2018/04/27 16:34:59.015,R5
Case No. 2,DoSomethingElse,2018/04/27 16:45:11.015,2018/04/27 16:45:11.015,R5
Case No. 3,ApplyForTrip,2018/04/27 13:28:29.921,2018/04/27 13:28:29.921,R5
Case No. 3,UseTransport,2018/04/27 13:36:56.921,2018/04/27 13:36:56.921,R3
Case No. 3,UseTransport,2018/04/27 14:04:18.921,2018/04/27 14:04:18.921,R4
Case No. 3,CollectTickets,2018/04/27 14:13:14.921,2018/04/27 14:13:14.921,R5
Case No. 3,ArchiveDocuments,2018/04/27 14:22:13.921,2018/04/27 14:22:13.921,R4
Case No. 3,BookAccomodation,2018/04/27 14:44:02.921,2018/04/27 14:44:02.921,R5
Case No. 3,BookTransport,2018/04/27 14:49:02.921,2018/04/27 14:49:02.921,R3
Case No. 3,ApproveApplication,2018/04/27 14:55:20.921,2018/04/27 14:55:20.921,R3
Case No. 3,DoSomething,2018/04/27 15:58:09.921,2018/04/27 15:58:09.921,R2
Case No. 3,UseTransport,2018/04/27 16:38:13.921,2018/04/27 16:38:13.921,R2
Case No. 3,BookTransport,2018/04/27 16:39:40.921,2018/04/27 16:39:40.921,R2
Case No. 3,DoSomethingElse,2018/04/27 17:06:16.921,2018/04/27 17:06:16.921,R1
Case No. 4,ApplyForTrip,2018/04/27 13:28:47.546,2018/04/27 13:28:47.546,R5
Case No. 4,BookTransport,2018/04/27 13:33:39.546,2018/04/27 13:33:39.546,R4
Case No. 4,BookAccomodation,2018/04/27 14:03:30.546,2018/04/27 14:03:30.546,R4
Case No. 4,ApproveApplication,2018/04/27 14:20:24.546,2018/04/27 14:20:24.546,R4
Case No. 4,CollectTickets,2018/04/27 14:38:37.546,2018/04/27 14:38:37.546,R4
Case No. 4,DoSomething,2018/04/27 14:43:56.546,2018/04/27 14:43:56.546,R4
Case No. 4,UseTransport,2018/04/27 14:49:14.546,2018/04/27 14:49:14.546,R1
Case No. 4,UseTransport,2018/04/27 15:10:49.546,2018/04/27 15:10:49.546,R3
Case No. 4,UseTransport,2018/04/27 15:17:13.546,2018/04/27 15:17:13.546,R1
Case No. 4,ArchiveDocuments,2018/04/27 16:07:49.546,2018/04/27 16:07:49.546,R1
Case No. 4,DoSomethingElse,2018/04/27 16:16:00.546,2018/04/27 16:16:00.546,R1
Case No. 4,UseTransport,2018/04/27 16:42:38.546,2018/04/27 16:42:38.546,R5
Case No. 5,ApplyForTrip,2018/04/27 13:37:01.694,2018/04/27 13:37:01.694,R5
Case No. 5,BookAccomodation,2018/04/27 13:43:52.694,2018/04/27 13:43:52.694,R3
Case No. 5,UseTransport,2018/04/27 14:01:32.694,2018/04/27 14:01:32.694,R1
Case No. 5,CollectTickets,2018/04/27 14:03:56.694,2018/04/27 14:03:56.694,R4
Case No. 5,ArchiveDocuments,2018/04/27 14:06:11.694,2018/04/27 14:06:11.694,R4
Case No. 5,UseTransport,2018/04/27 14:10:29.694,2018/04/27 14:10:29.694,R5
Case No. 5,BookTransport,2018/04/27 14:10:58.694,2018/04/27 14:10:58.694,R2
Case No. 5,ApproveApplication,2018/04/27 14:27:08.694,2018/04/27 14:27:08.694,R2
Case No. 5,DoSomething,2018/04/27 16:05:40.694,2018/04/27 16:05:40.694,R2
Case No. 5,UseTransport,2018/04/27 16:18:09.694,2018/04/27 16:18:09.694,R2
Case No. 5,DoSomethingElse,2018/04/27 16:31:03.694,2018/04/27 16:31:03.694,R2
Case No. 5,BookAccomodation,2018/04/27 16:44:48.694,2018/04/27 16:44:48.694,R2
Case No. 6,ApplyForTrip,2018/04/27 16:55:07.243,2018/04/27 16:55:07.243,R5
Case No. 6,BookTransport,2018/04/27 16:59:41.243,2018/04/27 16:59:41.243,R4
Case No. 6,CollectTickets,2018/04/27 17:25:23.243,2018/04/27 17:25:23.243,R5
Case No. 6,BookAccomodation,2018/04/27 17:37:44.243,2018/04/27 17:37:44.243,R2
Case No. 6,UseTransport,2018/04/27 18:05:00.243,2018/04/27 18:05:00.243,R2
Case No. 6,ApproveApplication,2018/04/27 18:05:41.243,2018/04/27 18:05:41.243,R2
Case No. 6,CollectTickets,2018/04/27 18:23:22.243,2018/04/27 18:23:22.243,R2
Case No. 6,UseTransport,2018/04/27 19:21:56.243,2018/04/27 19:21:56.243,R2
Case No. 6,ArchiveDocuments,2018/04/27 19:22:27.243,2018/04/27 19:22:27.243,R3
Case No. 6,DoSomething,2018/04/27 19:30:14.243,2018/04/27 19:30:14.243,R2
Case No. 6,UseTransport,2018/04/27 19:35:26.243,2018/04/27 19:35:26.243,R3
Case No. 6,DoSomethingElse,2018/04/27 20:25:28.243,2018/04/27 20:25:28.243,R3
Case No. 7,ApplyForTrip,2018/04/27 17:05:37.015,2018/04/27 17:05:37.015,R5
Case No. 7,DoSomethingElse,2018/04/27 17:59:26.015,2018/04/27 17:59:26.015,R5
Case No. 7,BookAccomodation,2018/04/27 18:03:34.015,2018/04/27 18:03:34.015,R5
Case No. 7,BookTransport,2018/04/27 18:14:20.015,2018/04/27 18:14:20.015,R5
Case No. 7,CollectTickets,2018/04/27 18:21:18.015,2018/04/27 18:21:18.015,R4
Case No. 7,ApproveApplication,2018/04/27 18:22:29.015,2018/04/27 18:22:29.015,R5
Case No. 7,UseTransport,2018/04/27 18:44:35.015,2018/04/27 18:44:35.015,R4
Case No. 7,DoSomethingElse,2018/04/27 19:02:36.015,2018/04/27 19:02:36.015,R4
Case No. 7,DoSomething,2018/04/27 19:04:22.015,2018/04/27 19:04:22.015,R5
Case No. 7,ArchiveDocuments,2018/04/27 19:58:40.015,2018/04/27 19:58:40.015,R4
Case No. 7,DoSomethingElse,2018/04/27 20:06:41.015,2018/04/27 20:06:41.015,R4
Case No. 7,BookAccomodation,2018/04/27 20:22:03.015,2018/04/27 20:22:03.015,R5
Case No. 8,ApplyForTrip,2018/04/27 17:25:21.921,2018/04/27 17:25:21.921,R3
Case No. 8,UseTransport,2018/04/27 17:57:19.921,2018/04/27 17:57:19.921,R2
Case No. 8,BookAccomodation,2018/04/27 18:34:25.921,2018/04/27 18:34:25.921,R3
Case No. 8,BookTransport,2018/04/27 19:21:41.921,2018/04/27 19:21:41.921,R2
Case No. 8,UseTransport,2018/04/27 19:32:22.921,2018/04/27 19:32:22.921,R4
Case No. 8,UseTransport,2018/04/27 19:36:19.921,2018/04/27 19:36:19.921,R2
Case No. 8,CollectTickets,2018/04/27 19:41:01.921,2018/04/27 19:41:01.921,R5
Case No. 8,ApproveApplication,2018/04/27 20:18:55.921,2018/04/27 20:18:55.921,R2
Case No. 8,ArchiveDocuments,2018/04/27 20:29:20.921,2018/04/27 20:29:20.921,R2
Case No. 8,DoSomething,2018/04/27 20:42:55.921,2018/04/27 20:42:55.921,R2
Case No. 8,UseTransport,2018/04/27 20:46:31.921,2018/04/27 20:46:31.921,R2
Case No. 8,DoSomethingElse,2018/04/27 20:58:37.921,2018/04/27 20:58:37.921,R1
Case No. 9,ApplyForTrip,2018/04/27 17:35:37.546,2018/04/27 17:35:37.546,R3
Case No. 9,CollectTickets,2018/04/27 17:36:09.546,2018/04/27 17:36:09.546,R1
Case No. 9,BookTransport,2018/04/27 17:59:41.546,2018/04/27 17:59:41.546,R5
Case No. 9,BookAccomodation,2018/04/27 18:03:13.546,2018/04/27 18:03:13.546,R5
Case No. 9,ApproveApplication,2018/04/27 18:33:19.546,2018/04/27 18:33:19.546,R5
Case No. 9,DoSomething,2018/04/27 18:38:26.546,2018/04/27 18:38:26.546,R4
