case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/05/14 05:18:00.274,2018/05/14 05:18:00.274,R5
Case No. 1,BookAccomodation,2018/05/14 05:18:11.274,2018/05/14 05:18:11.274,R5
Case No. 1,ApproveApplication,2018/05/14 05:54:01.274,2018/05/14 05:54:01.274,R5
Case No. 1,ApproveApplication,2018/05/14 06:27:06.274,2018/05/14 06:27:06.274,R5
Case No. 1,ApproveApplication,2018/05/14 07:35:11.274,2018/05/14 07:35:11.274,R5
Case No. 1,ApproveApplication,2018/05/14 07:42:00.274,2018/05/14 07:42:00.274,R5
Case No. 1,ApproveApplication,2018/05/14 07:54:42.274,2018/05/14 07:54:42.274,R5
Case No. 1,ApproveApplication,2018/05/14 08:06:33.274,2018/05/14 08:06:33.274,R5
Case No. 1,ApproveApplication,2018/05/14 08:20:06.274,2018/05/14 08:20:06.274,R5
Case No. 1,BookAccomodation,2018/05/14 08:55:03.274,2018/05/14 08:55:03.274,R5
Case No. 1,ApproveApplication,2018/05/14 08:59:15.274,2018/05/14 08:59:15.274,R5
Case No. 2,ApplyForTrip,2018/05/14 05:53:01.069,2018/05/14 05:53:01.069,R4
Case No. 2,BookAccomodation,2018/05/14 06:11:35.069,2018/05/14 06:11:35.069,R1
Case No. 2,ApproveApplication,2018/05/14 06:30:41.069,2018/05/14 06:30:41.069,R2
Case No. 2,ArchiveDocuments,2018/05/14 07:01:41.069,2018/05/14 07:01:41.069,R5
Case No. 2,CollectTickets,2018/05/14 07:05:15.069,2018/05/14 07:05:15.069,R5
Case No. 2,ApproveApplication,2018/05/14 07:12:54.069,2018/05/14 07:12:54.069,R5
Case No. 2,CollectTickets,2018/05/14 07:47:35.069,2018/05/14 07:47:35.069,R4
Case No. 2,ArchiveDocuments,2018/05/14 08:15:47.069,2018/05/14 08:15:47.069,R5
Case No. 2,ApplyForTrip,2018/05/14 08:29:29.069,2018/05/14 08:29:29.069,R5
Case No. 2,BookAccomodation,2018/05/14 09:04:03.069,2018/05/14 09:04:03.069,R3
Case No. 2,ApproveApplication,2018/05/14 09:11:06.069,2018/05/14 09:11:06.069,R4
Case No. 3,ApplyForTrip,2018/05/14 09:28:27.274,2018/05/14 09:28:27.274,R5
Case No. 3,BookAccomodation,2018/05/14 09:32:22.274,2018/05/14 09:32:22.274,R5
Case No. 3,ApproveApplication,2018/05/14 10:16:09.274,2018/05/14 10:16:09.274,R5
Case No. 3,ApproveApplication,2018/05/14 10:41:39.274,2018/05/14 10:41:39.274,R5
Case No. 3,ApproveApplication,2018/05/14 11:13:21.274,2018/05/14 11:13:21.274,R5
Case No. 3,ApproveApplication,2018/05/14 11:13:37.274,2018/05/14 11:13:37.274,R5
Case No. 3,ApproveApplication,2018/05/14 11:25:43.274,2018/05/14 11:25:43.274,R5
Case No. 3,ApproveApplication,2018/05/14 12:32:22.274,2018/05/14 12:32:22.274,R5
Case No. 3,BookAccomodation,2018/05/14 12:38:17.274,2018/05/14 12:38:17.274,R5
Case No. 3,ApproveApplication,2018/05/14 13:07:47.274,2018/05/14 13:07:47.274,R5
Case No. 3,ApproveApplication,2018/05/14 13:08:04.274,2018/05/14 13:08:04.274,R5
Case No. 4,ApplyForTrip,2018/05/14 09:51:39.069,2018/05/14 09:51:39.069,R3
Case No. 4,BookAccomodation,2018/05/14 10:01:53.069,2018/05/14 10:01:53.069,R1
Case No. 4,ApproveApplication,2018/05/14 10:08:20.069,2018/05/14 10:08:20.069,R2
Case No. 4,CollectTickets,2018/05/14 10:19:33.069,2018/05/14 10:19:33.069,R4
Case No. 4,ArchiveDocuments,2018/05/14 10:34:17.069,2018/05/14 10:34:17.069,R5
Case No. 4,ApplyForTrip,2018/05/14 11:35:34.069,2018/05/14 11:35:34.069,R5
Case No. 4,BookAccomodation,2018/05/14 12:06:21.069,2018/05/14 12:06:21.069,R4
Case No. 4,ApproveApplication,2018/05/14 12:31:37.069,2018/05/14 12:31:37.069,R1
Case No. 4,CollectTickets,2018/05/14 12:56:37.069,2018/05/14 12:56:37.069,R1
Case No. 4,CollectTickets,2018/05/14 13:09:37.069,2018/05/14 13:09:37.069,R2
Case No. 4,ArchiveDocuments,2018/05/14 13:09:58.069,2018/05/14 13:09:58.069,R4
Case No. 5,ApplyForTrip,2018/05/14 13:42:56.274,2018/05/14 13:42:56.274,R4
Case No. 5,BookAccomodation,2018/05/14 15:05:13.274,2018/05/14 15:05:13.274,R5
Case No. 5,ApproveApplication,2018/05/14 15:17:03.274,2018/05/14 15:17:03.274,R5
Case No. 5,ApproveApplication,2018/05/14 15:28:40.274,2018/05/14 15:28:40.274,R5
Case No. 5,ApproveApplication,2018/05/14 15:36:59.274,2018/05/14 15:36:59.274,R5
Case No. 5,ApproveApplication,2018/05/14 15:45:55.274,2018/05/14 15:45:55.274,R5
Case No. 5,ApproveApplication,2018/05/14 16:03:07.274,2018/05/14 16:03:07.274,R5
Case No. 5,ApproveApplication,2018/05/14 16:05:56.274,2018/05/14 16:05:56.274,R5
Case No. 5,BookAccomodation,2018/05/14 16:34:14.274,2018/05/14 16:34:14.274,R5
Case No. 5,ApproveApplication,2018/05/14 16:37:49.274,2018/05/14 16:37:49.274,R5
Case No. 5,ApproveApplication,2018/05/14 16:40:16.274,2018/05/14 16:40:16.274,R5
Case No. 6,ApplyForTrip,2018/05/14 05:33:24.017,2018/05/14 05:33:24.017,R5
Case No. 6,BookAccomodation,2018/05/14 05:45:06.017,2018/05/14 05:45:06.017,R1
Case No. 6,ApproveApplication,2018/05/14 05:47:39.017,2018/05/14 05:47:39.017,R5
Case No. 6,ArchiveDocuments,2018/05/14 06:04:32.017,2018/05/14 06:04:32.017,R2
Case No. 6,ArchiveDocuments,2018/05/14 06:06:55.017,2018/05/14 06:06:55.017,R5
Case No. 6,CollectTickets,2018/05/14 07:23:54.017,2018/05/14 07:23:54.017,R3
Case No. 6,ArchiveDocuments,2018/05/14 07:29:42.017,2018/05/14 07:29:42.017,R4
Case No. 6,ApplyForTrip,2018/05/14 07:43:42.017,2018/05/14 07:43:42.017,R4
Case No. 6,BookAccomodation,2018/05/14 07:44:29.017,2018/05/14 07:44:29.017,R2
Case No. 6,ApproveApplication,2018/05/14 08:08:03.017,2018/05/14 08:08:03.017,R2
Case No. 6,CollectTickets,2018/05/14 08:32:45.017,2018/05/14 08:32:45.017,R2
Case No. 6,CollectTickets,2018/05/14 09:14:54.017,2018/05/14 09:14:54.017,R2
Case No. 7,ApplyForTrip,2018/05/14 17:24:08.274,2018/05/14 17:24:08.274,R3
Case No. 7,BookAccomodation,2018/05/14 18:37:52.274,2018/05/14 18:37:52.274,R5
Case No. 7,ApproveApplication,2018/05/14 18:41:42.274,2018/05/14 18:41:42.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:05:38.274,2018/05/14 20:05:38.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:05:38.274,2018/05/14 20:05:38.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:10:28.274,2018/05/14 20:10:28.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:29:26.274,2018/05/14 20:29:26.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:37:25.274,2018/05/14 20:37:25.274,R5
Case No. 7,BookAccomodation,2018/05/14 20:49:15.274,2018/05/14 20:49:15.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:52:17.274,2018/05/14 20:52:17.274,R5
Case No. 7,ApproveApplication,2018/05/14 20:53:03.274,2018/05/14 20:53:03.274,R5
Case No. 8,ApplyForTrip,2018/05/14 13:44:49.069,2018/05/14 13:44:49.069,R3
Case No. 8,BookAccomodation,2018/05/14 13:51:35.069,2018/05/14 13:51:35.069,R1
Case No. 8,ApproveApplication,2018/05/14 13:53:15.069,2018/05/14 13:53:15.069,R2
Case No. 8,CollectTickets,2018/05/14 13:57:00.069,2018/05/14 13:57:00.069,R4
Case No. 8,ArchiveDocuments,2018/05/14 14:31:58.069,2018/05/14 14:31:58.069,R5
Case No. 8,CollectTickets,2018/05/14 14:42:59.069,2018/05/14 14:42:59.069,R3
Case No. 8,CollectTickets,2018/05/14 15:06:50.069,2018/05/14 15:06:50.069,R5
Case No. 8,ApplyForTrip,2018/05/14 15:59:15.069,2018/05/14 15:59:15.069,R5
Case No. 8,BookAccomodation,2018/05/14 16:17:50.069,2018/05/14 16:17:50.069,R4
Case No. 8,ApproveApplication,2018/05/14 16:45:43.069,2018/05/14 16:45:43.069,R5
Case No. 8,ArchiveDocuments,2018/05/14 16:53:47.069,2018/05/14 16:53:47.069,R3
Case No. 9,ApplyForTrip,2018/05/14 05:39:38.722,2018/05/14 05:39:38.722,R5
Case No. 9,BookAccomodation,2018/05/14 05:58:00.722,2018/05/14 05:58:00.722,R1
Case No. 9,ApproveApplication,2018/05/14 06:05:06.722,2018/05/14 06:05:06.722,R5
Case No. 9,ArchiveDocuments,2018/05/14 06:13:35.722,2018/05/14 06:13:35.722,R2
Case No. 9,ApproveApplication,2018/05/14 06:40:22.722,2018/05/14 06:40:22.722,R4
Case No. 9,CollectTickets,2018/05/14 06:59:18.722,2018/05/14 06:59:18.722,R5
Case No. 9,ApproveApplication,2018/05/14 07:44:41.722,2018/05/14 07:44:41.722,R5
Case No. 9,ApproveApplication,2018/05/14 08:42:50.722,2018/05/14 08:42:50.722,R5
Case No. 9,BookAccomodation,2018/05/14 08:43:10.722,2018/05/14 08:43:10.722,R4
Case No. 9,ApproveApplication,2018/05/14 08:55:28.722,2018/05/14 08:55:28.722,R2
Case No. 9,ApproveApplication,2018/05/14 09:16:43.722,2018/05/14 09:16:43.722,R1
Case No. 10,ApplyForTrip,2018/05/14 09:21:55.017,2018/05/14 09:21:55.017,R5
Case No. 10,BookAccomodation,2018/05/14 09:49:03.017,2018/05/14 09:49:03.017,R3
Case No. 10,ApproveApplication,2018/05/14 10:02:08.017,2018/05/14 10:02:08.017,R5
Case No. 10,ArchiveDocuments,2018/05/14 10:02:24.017,2018/05/14 10:02:24.017,R2
Case No. 10,ApplyForTrip,2018/05/14 10:39:55.017,2018/05/14 10:39:55.017,R4
Case No. 10,BookAccomodation,2018/05/14 10:45:26.017,2018/05/14 10:45:26.017,R5
Case No. 10,ApproveApplication,2018/05/14 10:59:05.017,2018/05/14 10:59:05.017,R5
Case No. 10,CollectTickets,2018/05/14 11:05:33.017,2018/05/14 11:05:33.017,R3
Case No. 10,ArchiveDocuments,2018/05/14 11:21:05.017,2018/05/14 11:21:05.017,R4
Case No. 10,CollectTickets,2018/05/14 11:21:11.017,2018/05/14 11:21:11.017,R5
Case No. 10,BookAccomodation,2018/05/14 11:50:26.017,2018/05/14 11:50:26.017,R1
Case No. 10,ApproveApplication,2018/05/14 12:35:12.017,2018/05/14 12:35:12.017,R2
Case No. 11,ApplyForTrip,2018/05/14 21:19:14.274,2018/05/14 21:19:14.274,R2
Case No. 11,BookAccomodation,2018/05/14 21:27:15.274,2018/05/14 21:27:15.274,R5
Case No. 11,ApproveApplication,2018/05/14 21:40:52.274,2018/05/14 21:40:52.274,R5
Case No. 11,ApproveApplication,2018/05/14 22:48:11.274,2018/05/14 22:48:11.274,R5
Case No. 11,ApproveApplication,2018/05/14 23:04:26.274,2018/05/14 23:04:26.274,R5
Case No. 11,ApproveApplication,2018/05/14 23:29:51.274,2018/05/14 23:29:51.274,R5
Case No. 11,ApproveApplication,2018/05/14 23:52:41.274,2018/05/14 23:52:41.274,R5
Case No. 11,ApproveApplication,2018/05/14 23:58:23.274,2018/05/14 23:58:23.274,R5
Case No. 11,BookAccomodation,2018/05/15 00:07:34.274,2018/05/15 00:07:34.274,R5
Case No. 11,ApproveApplication,2018/05/15 00:49:03.274,2018/05/15 00:49:03.274,R5
Case No. 11,ApproveApplication,2018/05/15 01:05:00.274,2018/05/15 01:05:00.274,R5
Case No. 12,ApplyForTrip,2018/05/14 17:28:38.069,2018/05/14 17:28:38.069,R3
Case No. 12,BookAccomodation,2018/05/14 17:41:09.069,2018/05/14 17:41:09.069,R3
Case No. 12,ApproveApplication,2018/05/14 17:55:16.069,2018/05/14 17:55:16.069,R5
Case No. 12,CollectTickets,2018/05/14 18:26:05.069,2018/05/14 18:26:05.069,R4
Case No. 12,ArchiveDocuments,2018/05/14 18:42:50.069,2018/05/14 18:42:50.069,R5
Case No. 12,BookAccomodation,2018/05/14 18:50:45.069,2018/05/14 18:50:45.069,R1
Case No. 12,ApproveApplication,2018/05/14 18:59:49.069,2018/05/14 18:59:49.069,R3
Case No. 12,ApproveApplication,2018/05/14 19:08:05.069,2018/05/14 19:08:05.069,R2
Case No. 12,ApplyForTrip,2018/05/14 21:10:14.069,2018/05/14 21:10:14.069,R5
Case No. 12,BookAccomodation,2018/05/14 21:13:13.069,2018/05/14 21:13:13.069,R3
Case No. 12,ApproveApplication,2018/05/14 21:15:21.069,2018/05/14 21:15:21.069,R3
Case No. 13,ApplyForTrip,2018/05/15 01:33:44.274,2018/05/15 01:33:44.274,R1
Case No. 13,BookAccomodation,2018/05/15 01:38:05.274,2018/05/15 01:38:05.274,R5
Case No. 13,ApproveApplication,2018/05/15 02:08:29.274,2018/05/15 02:08:29.274,R5
Case No. 13,ApproveApplication,2018/05/15 02:14:24.274,2018/05/15 02:14:24.274,R5
Case No. 13,ApproveApplication,2018/05/15 02:35:48.274,2018/05/15 02:35:48.274,R5
Case No. 13,ApproveApplication,2018/05/15 02:38:31.274,2018/05/15 02:38:31.274,R5
Case No. 13,ApproveApplication,2018/05/15 03:41:41.274,2018/05/15 03:41:41.274,R5
Case No. 13,ApproveApplication,2018/05/15 03:53:54.274,2018/05/15 03:53:54.274,R5
Case No. 13,BookAccomodation,2018/05/15 04:25:09.274,2018/05/15 04:25:09.274,R5
Case No. 13,ApproveApplication,2018/05/15 04:36:20.274,2018/05/15 04:36:20.274,R5
Case No. 13,ApproveApplication,2018/05/15 05:02:47.274,2018/05/15 05:02:47.274,R5
Case No. 14,ApplyForTrip,2018/05/14 21:23:23.069,2018/05/14 21:23:23.069,R3
Case No. 14,BookAccomodation,2018/05/14 22:30:40.069,2018/05/14 22:30:40.069,R1
Case No. 14,ApproveApplication,2018/05/14 22:49:51.069,2018/05/14 22:49:51.069,R2
Case No. 14,CollectTickets,2018/05/14 23:42:37.069,2018/05/14 23:42:37.069,R4
Case No. 14,ArchiveDocuments,2018/05/14 23:54:52.069,2018/05/14 23:54:52.069,R5
Case No. 14,ApplyForTrip,2018/05/14 23:57:15.069,2018/05/14 23:57:15.069,R5
Case No. 14,BookAccomodation,2018/05/15 00:03:53.069,2018/05/15 00:03:53.069,R4
Case No. 14,ApproveApplication,2018/05/15 00:26:24.069,2018/05/15 00:26:24.069,R5
Case No. 14,CollectTickets,2018/05/15 00:49:19.069,2018/05/15 00:49:19.069,R5
Case No. 14,ApproveApplication,2018/05/15 00:58:54.069,2018/05/15 00:58:54.069,R3
Case No. 14,ApproveApplication,2018/05/15 01:05:10.069,2018/05/15 01:05:10.069,R3
Case No. 15,ApplyForTrip,2018/05/15 05:39:05.274,2018/05/15 05:39:05.274,R2
Case No. 15,BookAccomodation,2018/05/15 05:40:18.274,2018/05/15 05:40:18.274,R4
Case No. 15,ApproveApplication,2018/05/15 06:06:20.274,2018/05/15 06:06:20.274,R5
Case No. 15,ApproveApplication,2018/05/15 06:08:39.274,2018/05/15 06:08:39.274,R5
Case No. 15,ApproveApplication,2018/05/15 07:00:43.274,2018/05/15 07:00:43.274,R5
Case No. 15,ApproveApplication,2018/05/15 08:11:50.274,2018/05/15 08:11:50.274,R5
Case No. 15,ApproveApplication,2018/05/15 08:12:23.274,2018/05/15 08:12:23.274,R5
Case No. 15,ApproveApplication,2018/05/15 08:55:39.274,2018/05/15 08:55:39.274,R5
Case No. 15,BookAccomodation,2018/05/15 08:59:36.274,2018/05/15 08:59:36.274,R5
Case No. 15,ApproveApplication,2018/05/15 09:11:30.274,2018/05/15 09:11:30.274,R5
Case No. 15,ApproveApplication,2018/05/15 09:13:10.274,2018/05/15 09:13:10.274,R5
Case No. 16,ApplyForTrip,2018/05/14 13:19:21.017,2018/05/14 13:19:21.017,R5
Case No. 16,BookAccomodation,2018/05/14 13:26:40.017,2018/05/14 13:26:40.017,R1
Case No. 16,ApproveApplication,2018/05/14 13:29:43.017,2018/05/14 13:29:43.017,R2
Case No. 16,ArchiveDocuments,2018/05/14 14:18:45.017,2018/05/14 14:18:45.017,R2
Case No. 16,ApplyForTrip,2018/05/14 14:51:07.017,2018/05/14 14:51:07.017,R4
Case No. 16,BookAccomodation,2018/05/14 15:12:22.017,2018/05/14 15:12:22.017,R5
Case No. 16,ApproveApplication,2018/05/14 15:15:26.017,2018/05/14 15:15:26.017,R4
Case No. 16,CollectTickets,2018/05/14 15:41:27.017,2018/05/14 15:41:27.017,R3
Case No. 16,ArchiveDocuments,2018/05/14 15:52:19.017,2018/05/14 15:52:19.017,R4
Case No. 16,BookAccomodation,2018/05/14 15:56:29.017,2018/05/14 15:56:29.017,R4
Case No. 16,ApproveApplication,2018/05/14 16:19:18.017,2018/05/14 16:19:18.017,R4
Case No. 16,ApproveApplication,2018/05/14 16:44:35.017,2018/05/14 16:44:35.017,R5
Case No. 17,ApplyForTrip,2018/05/15 09:42:33.274,2018/05/15 09:42:33.274,R5
Case No. 17,BookAccomodation,2018/05/15 09:53:52.274,2018/05/15 09:53:52.274,R4
Case No. 17,ApproveApplication,2018/05/15 10:05:27.274,2018/05/15 10:05:27.274,R5
Case No. 17,ApproveApplication,2018/05/15 10:34:20.274,2018/05/15 10:34:20.274,R5
Case No. 17,ApproveApplication,2018/05/15 11:27:20.274,2018/05/15 11:27:20.274,R5
Case No. 17,ApproveApplication,2018/05/15 12:08:06.274,2018/05/15 12:08:06.274,R5
Case No. 17,ApproveApplication,2018/05/15 12:13:31.274,2018/05/15 12:13:31.274,R5
Case No. 17,ApproveApplication,2018/05/15 12:14:52.274,2018/05/15 12:14:52.274,R5
Case No. 17,BookAccomodation,2018/05/15 12:32:57.274,2018/05/15 12:32:57.274,R5
Case No. 17,ApproveApplication,2018/05/15 12:37:09.274,2018/05/15 12:37:09.274,R5
Case No. 17,ApproveApplication,2018/05/15 13:06:32.274,2018/05/15 13:06:32.274,R5
Case No. 18,ApplyForTrip,2018/05/15 01:43:08.069,2018/05/15 01:43:08.069,R3
Case No. 18,BookAccomodation,2018/05/15 01:52:27.069,2018/05/15 01:52:27.069,R1
Case No. 18,ApproveApplication,2018/05/15 02:37:33.069,2018/05/15 02:37:33.069,R2
Case No. 18,CollectTickets,2018/05/15 03:32:00.069,2018/05/15 03:32:00.069,R4
Case No. 18,ArchiveDocuments,2018/05/15 03:37:41.069,2018/05/15 03:37:41.069,R5
Case No. 18,ApplyForTrip,2018/05/15 04:03:03.069,2018/05/15 04:03:03.069,R5
Case No. 18,BookAccomodation,2018/05/15 04:05:57.069,2018/05/15 04:05:57.069,R3
Case No. 18,ApproveApplication,2018/05/15 04:09:10.069,2018/05/15 04:09:10.069,R5
Case No. 18,CollectTickets,2018/05/15 04:09:32.069,2018/05/15 04:09:32.069,R3
Case No. 18,ApproveApplication,2018/05/15 04:29:06.069,2018/05/15 04:29:06.069,R3
Case No. 18,ApproveApplication,2018/05/15 04:29:37.069,2018/05/15 04:29:37.069,R3
Case No. 19,ApplyForTrip,2018/05/14 09:19:42.722,2018/05/14 09:19:42.722,R5
Case No. 19,BookAccomodation,2018/05/14 09:51:44.722,2018/05/14 09:51:44.722,R5
Case No. 19,ApproveApplication,2018/05/14 10:12:07.722,2018/05/14 10:12:07.722,R5
Case No. 19,ApproveApplication,2018/05/14 10:30:59.722,2018/05/14 10:30:59.722,R5
Case No. 19,ApproveApplication,2018/05/14 10:54:03.722,2018/05/14 10:54:03.722,R5
Case No. 19,ArchiveDocuments,2018/05/14 10:56:02.722,2018/05/14 10:56:02.722,R2
Case No. 19,BookAccomodation,2018/05/14 11:05:29.722,2018/05/14 11:05:29.722,R4
Case No. 19,ApproveApplication,2018/05/14 11:33:52.722,2018/05/14 11:33:52.722,R5
Case No. 19,ApproveApplication,2018/05/14 11:40:03.722,2018/05/14 11:40:03.722,R5
Case No. 19,ApproveApplication,2018/05/14 11:59:39.722,2018/05/14 11:59:39.722,R5
Case No. 19,ApproveApplication,2018/05/14 12:38:14.722,2018/05/14 12:38:14.722,R1
Case No. 20,ApplyForTrip,2018/05/14 17:41:23.017,2018/05/14 17:41:23.017,R5
Case No. 20,BookAccomodation,2018/05/14 17:47:51.017,2018/05/14 17:47:51.017,R1
Case No. 20,ApproveApplication,2018/05/14 17:52:53.017,2018/05/14 17:52:53.017,R2
Case No. 20,ArchiveDocuments,2018/05/14 18:38:41.017,2018/05/14 18:38:41.017,R2
Case No. 20,ApplyForTrip,2018/05/14 18:40:18.017,2018/05/14 18:40:18.017,R4
Case No. 20,BookAccomodation,2018/05/14 18:49:30.017,2018/05/14 18:49:30.017,R5
Case No. 20,ApproveApplication,2018/05/14 19:19:37.017,2018/05/14 19:19:37.017,R5
Case No. 20,CollectTickets,2018/05/14 20:02:22.017,2018/05/14 20:02:22.017,R3
Case No. 20,ArchiveDocuments,2018/05/14 20:33:12.017,2018/05/14 20:33:12.017,R4
Case No. 20,ApproveApplication,2018/05/14 20:37:27.017,2018/05/14 20:37:27.017,R5
Case No. 20,ApproveApplication,2018/05/14 20:55:39.017,2018/05/14 20:55:39.017,R5
Case No. 20,CollectTickets,2018/05/14 20:55:50.017,2018/05/14 20:55:50.017,R5
Case No. 21,ApplyForTrip,2018/05/15 14:01:08.274,2018/05/15 14:01:08.274,R4
Case No. 21,BookAccomodation,2018/05/15 14:26:23.274,2018/05/15 14:26:23.274,R4
Case No. 21,ApproveApplication,2018/05/15 14:28:01.274,2018/05/15 14:28:01.274,R5
Case No. 21,ApproveApplication,2018/05/15 14:34:25.274,2018/05/15 14:34:25.274,R5
