case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/05/17 04:18:29.223,2018/05/17 04:18:29.223,R1
Case No. 1,BookTransport,2018/05/17 04:49:36.223,2018/05/17 04:49:36.223,R3
Case No. 1,BookAccomodation,2018/05/17 05:07:57.223,2018/05/17 05:07:57.223,R5
Case No. 1,ApproveApplication,2018/05/17 05:48:38.223,2018/05/17 05:48:38.223,R7
Case No. 1,CollectTickets,2018/05/17 06:25:10.223,2018/05/17 06:25:10.223,R12
Case No. 1,ArchiveDocuments,2018/05/17 06:38:55.223,2018/05/17 06:38:55.223,R12
Case No. 1,DoSomethingDifferent,2018/05/17 06:40:48.223,2018/05/17 06:40:48.223,R20
Case No. 1,DoSomethingElse,2018/05/17 06:42:58.223,2018/05/17 06:42:58.223,R18
Case No. 1,DoSomething,2018/05/17 07:06:48.223,2018/05/17 07:06:48.223,R16
Case No. 1,UseTransport,2018/05/17 07:45:12.223,2018/05/17 07:45:12.223,R10
Case No. 1,ArchiveDocuments,2018/05/17 08:02:18.223,2018/05/17 08:02:18.223,R20
Case No. 1,ArchiveDocuments,2018/05/17 08:08:31.223,2018/05/17 08:08:31.223,R18
Case No. 2,ApplyForTrip,2018/05/17 04:43:39.218,2018/05/17 04:43:39.218,R1
Case No. 2,BookTransport,2018/05/17 05:00:55.218,2018/05/17 05:00:55.218,R3
Case No. 2,BookAccomodation,2018/05/17 05:20:27.218,2018/05/17 05:20:27.218,R5
Case No. 2,ApproveApplication,2018/05/17 05:28:43.218,2018/05/17 05:28:43.218,R7
Case No. 2,CollectTickets,2018/05/17 05:41:59.218,2018/05/17 05:41:59.218,R12
Case No. 2,ArchiveDocuments,2018/05/17 05:43:08.218,2018/05/17 05:43:08.218,R20
Case No. 2,UseTransport,2018/05/17 05:45:12.218,2018/05/17 05:45:12.218,R10
Case No. 2,DoSomethingDifferent,2018/05/17 06:32:07.218,2018/05/17 06:32:07.218,R20
Case No. 2,DoSomethingElse,2018/05/17 06:43:53.218,2018/05/17 06:43:53.218,R18
Case No. 2,DoSomething,2018/05/17 06:58:04.218,2018/05/17 06:58:04.218,R16
Case No. 2,UseTransport,2018/05/17 07:02:45.218,2018/05/17 07:02:45.218,R20
Case No. 2,ArchiveDocuments,2018/05/17 07:41:52.218,2018/05/17 07:41:52.218,R20
Case No. 2,ArchiveDocuments,2018/05/17 07:56:47.218,2018/05/17 07:56:47.218,R15
Case No. 3,ApplyForTrip,2018/05/17 08:22:01.223,2018/05/17 08:22:01.223,R1
Case No. 3,BookTransport,2018/05/17 08:56:39.223,2018/05/17 08:56:39.223,R3
Case No. 3,BookAccomodation,2018/05/17 08:58:23.223,2018/05/17 08:58:23.223,R5
Case No. 3,ApproveApplication,2018/05/17 09:04:27.223,2018/05/17 09:04:27.223,R7
Case No. 3,CollectTickets,2018/05/17 09:36:57.223,2018/05/17 09:36:57.223,R12
