case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/05/14 05:42:32.861,2018/05/14 05:42:32.861,R5
Case No. 1,BookAccomodation,2018/05/14 05:53:18.861,2018/05/14 05:53:18.861,R5
Case No. 1,ApproveApplication,2018/05/14 06:04:01.861,2018/05/14 06:04:01.861,R5
Case No. 1,ApproveApplication,2018/05/14 06:24:35.861,2018/05/14 06:24:35.861,R5
Case No. 1,ApproveApplication,2018/05/14 06:45:19.861,2018/05/14 06:45:19.861,R5
Case No. 1,ApproveApplication,2018/05/14 06:49:06.861,2018/05/14 06:49:06.861,R5
Case No. 1,ApproveApplication,2018/05/14 07:37:54.861,2018/05/14 07:37:54.861,R5
Case No. 1,ApproveApplication,2018/05/14 07:53:30.861,2018/05/14 07:53:30.861,R5
Case No. 1,ApproveApplication,2018/05/14 08:10:57.861,2018/05/14 08:10:57.861,R5
Case No. 1,BookAccomodation,2018/05/14 09:01:12.861,2018/05/14 09:01:12.861,R5
Case No. 1,ApproveApplication,2018/05/14 09:09:30.861,2018/05/14 09:09:30.861,R5
Case No. 2,ApplyForTrip,2018/05/14 05:26:31.358,2018/05/14 05:26:31.358,R5
Case No. 2,BookAccomodation,2018/05/14 05:34:31.358,2018/05/14 05:34:31.358,R5
Case No. 2,ApproveApplication,2018/05/14 05:55:24.358,2018/05/14 05:55:24.358,R5
Case No. 2,CollectTickets,2018/05/14 06:39:59.358,2018/05/14 06:39:59.358,R4
Case No. 2,ApproveApplication,2018/05/14 06:57:09.358,2018/05/14 06:57:09.358,R5
Case No. 2,ApproveApplication,2018/05/14 07:06:49.358,2018/05/14 07:06:49.358,R5
Case No. 2,ApproveApplication,2018/05/14 07:09:49.358,2018/05/14 07:09:49.358,R5
Case No. 2,ApproveApplication,2018/05/14 07:18:59.358,2018/05/14 07:18:59.358,R5
Case No. 2,ApproveApplication,2018/05/14 07:47:52.358,2018/05/14 07:47:52.358,R5
Case No. 2,BookAccomodation,2018/05/14 08:00:55.358,2018/05/14 08:00:55.358,R5
Case No. 2,ApproveApplication,2018/05/14 08:27:06.358,2018/05/14 08:27:06.358,R5
