case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/05/01 19:02:29.194,2018/05/01 19:02:29.194,R5
Case No. 1,DoSomething,2018/05/01 19:17:06.194,2018/05/01 19:17:06.194,R4
Case No. 1,DoSomethingElse,2018/05/01 20:29:08.194,2018/05/01 20:29:08.194,R3
Case No. 1,DoSomethingElse,2018/05/01 22:02:43.194,2018/05/01 22:02:43.194,R1
Case No. 1,CollectTickets,2018/05/01 22:15:52.194,2018/05/01 22:15:52.194,R4
Case No. 1,DoSomething,2018/05/01 22:44:09.194,2018/05/01 22:44:09.194,R5
Case No. 2,ApplyForTrip,2018/05/01 20:29:48.391,2018/05/01 20:29:48.391,R5
Case No. 2,UseTransport,2018/05/01 20:50:10.391,2018/05/01 20:50:10.391,R5
Case No. 2,DoSomething,2018/05/01 20:52:38.391,2018/05/01 20:52:38.391,R5
Case No. 2,DoSomethingElse,2018/05/01 22:18:18.391,2018/05/01 22:18:18.391,R4
Case No. 2,DoSomethingElse,2018/05/01 22:18:19.391,2018/05/01 22:18:19.391,R4
Case No. 2,BookTransport,2018/05/01 22:24:21.391,2018/05/01 22:24:21.391,R4
Case No. 2,ArchiveDocuments,2018/05/01 22:52:40.391,2018/05/01 22:52:40.391,R5
Case No. 3,ApplyForTrip,2018/05/01 23:21:40.194,2018/05/01 23:21:40.194,R5
Case No. 3,DoSomething,2018/05/02 00:13:31.194,2018/05/02 00:13:31.194,R4
Case No. 3,DoSomething,2018/05/02 00:33:30.194,2018/05/02 00:33:30.194,R5
Case No. 3,DoSomethingElse,2018/05/02 02:00:53.194,2018/05/02 02:00:53.194,R1
Case No. 3,CollectTickets,2018/05/02 02:04:44.194,2018/05/02 02:04:44.194,R5
Case No. 3,DoSomething,2018/05/02 02:15:44.194,2018/05/02 02:15:44.194,R2
Case No. 4,ApplyForTrip,2018/05/02 04:25:31.194,2018/05/02 04:25:31.194,R5
Case No. 4,DoSomething,2018/05/02 04:38:19.194,2018/05/02 04:38:19.194,R1
Case No. 4,DoSomething,2018/05/02 04:46:48.194,2018/05/02 04:46:48.194,R5
Case No. 4,DoSomething,2018/05/02 04:59:54.194,2018/05/02 04:59:54.194,R4
Case No. 4,DoSomething,2018/05/02 06:20:29.194,2018/05/02 06:20:29.194,R5
Case No. 4,DoSomething,2018/05/02 06:38:22.194,2018/05/02 06:38:22.194,R5
Case No. 5,ApplyForTrip,2018/05/02 07:01:27.194,2018/05/02 07:01:27.194,R5
Case No. 5,DoSomething,2018/05/02 07:59:09.194,2018/05/02 07:59:09.194,R5
Case No. 5,DoSomething,2018/05/02 08:59:34.194,2018/05/02 08:59:34.194,R5
Case No. 5,DoSomething,2018/05/02 09:47:17.194,2018/05/02 09:47:17.194,R1
Case No. 5,DoSomething,2018/05/02 10:11:14.194,2018/05/02 10:11:14.194,R5
Case No. 5,DoSomething,2018/05/02 10:33:12.194,2018/05/02 10:33:12.194,R5
Case No. 6,ApplyForTrip,2018/05/01 23:18:50.391,2018/05/01 23:18:50.391,R5
Case No. 6,DoSomething,2018/05/01 23:35:22.391,2018/05/01 23:35:22.391,R5
Case No. 6,DoSomethingElse,2018/05/02 00:28:37.391,2018/05/02 00:28:37.391,R4
Case No. 6,BookTransport,2018/05/02 00:56:08.391,2018/05/02 00:56:08.391,R4
Case No. 6,DoSomething,2018/05/02 01:33:22.391,2018/05/02 01:33:22.391,R5
Case No. 6,DoSomething,2018/05/02 01:42:42.391,2018/05/02 01:42:42.391,R5
