aseID,Activity,CompleteTimestamp,Resource
Application_652823628,A_Create Application,2016-01-01 11:51:15,User_1
Application_652823628,A_Submitted,2016-01-01 11:51:15,User_1
Application_652823628,A_Concept,2016-01-01 11:52:36,User_1
Application_652823628,W_Complete application,2016-01-02 12:45:22,User_17
Application_652823628,A_Accepted,2016-01-02 13:23:04,User_52
Application_652823628,O_Create Offer,2016-01-02 13:29:03,User_52
Application_652823628,O_Created,2016-01-02 13:29:05,User_52
Application_652823628,O_Sent (mail and online),2016-01-02 13:30:28,User_52
Application_652823628,W_Call after offers,2016-01-02 13:30:28,User_52
Application_652823628,A_Complete,2016-01-02 13:30:28,User_52
Application_652823628,W_Validate application,2016-01-13 15:10:55,User_117
Application_652823628,A_Validating,2016-01-13 15:10:55,User_117
Application_652823628,O_Returned,2016-01-13 15:11:03,User_117
Application_652823628,W_Call incomplete files,2016-01-14 11:16:20,User_115
Application_652823628,A_Incomplete,2016-01-14 11:16:20,User_115
Application_652823628,W_Validate application,2016-01-14 15:39:51,User_117
Application_652823628,A_Validating,2016-01-14 15:39:51,User_117
Application_652823628,O_Accepted,2016-01-14 17:49:11,User_115
Application_652823628,A_Pending,2016-01-14 17:49:11,User_115
Application_1691306052,A_Create Application,2016-01-01 12:16:11,User_1
Application_1691306052,A_Submitted,2016-01-01 12:16:11,User_1
Application_1691306052,A_Concept,2016-01-01 12:17:31,User_1
Application_1691306052,W_Complete application,2016-01-02 13:03:05,User_38
Application_1691306052,A_Accepted,2016-01-02 12:59:44,User_38
Application_1691306052,O_Create Offer,2016-01-02 13:02:38,User_38
Application_1691306052,O_Created,2016-01-02 13:02:40,User_38
Application_1691306052,O_Sent (mail and online),2016-01-02 13:03:05,User_38
Application_1691306052,W_Call after offers,2016-01-02 13:03:05,User_38
Application_1691306052,A_Complete,2016-01-02 13:03:05,User_38
Application_1691306052,W_Validate application,2016-01-07 15:29:49,User_68
Application_1691306052,A_Validating,2016-01-07 11:40:09,User_119
Application_1691306052,A_Denied,2016-01-07 15:29:49,User_68
Application_1691306052,O_Refused,2016-01-07 15:29:49,User_68
Application_428409768,A_Create Application,2016-01-01 13:19:38,User_1
Application_428409768,A_Submitted,2016-01-01 13:19:38,User_1
Application_428409768,A_Concept,2016-01-01 13:20:37,User_1
Application_428409768,W_Complete application,2016-01-02 13:06:53,User_19
Application_428409768,A_Accepted,2016-01-02 13:02:44,User_19
Application_428409768,O_Create Offer,2016-01-02 13:05:15,User_19
Application_428409768,O_Created,2016-01-02 13:05:17,User_19
Application_428409768,O_Sent (mail and online),2016-01-02 13:06:53,User_19
Application_428409768,W_Call after offers,2016-01-02 13:06:53,User_19
Application_428409768,A_Complete,2016-01-02 13:06:53,User_19
Application_428409768,O_Create Offer,2016-01-02 13:25:44,User_19
Application_428409768,O_Created,2016-01-02 13:25:45,User_19
Application_428409768,O_Cancelled,2016-01-02 13:26:06,User_19
Application_428409768,O_Sent (mail and online),2016-01-02 13:26:19,User_19
Application_428409768,W_Validate application,2016-01-13 10:57:21,User_116
Application_428409768,A_Validating,2016-01-13 10:57:22,User_116
Application_428409768,O_Returned,2016-01-13 11:08:14,User_116
Application_428409768,W_Call incomplete files,2016-01-13 14:19:05,User_101
Application_428409768,A_Incomplete,2016-01-13 14:19:05,User_101
Application_428409768,W_Validate application,2016-01-13 18:01:21,User_31
Application_428409768,A_Validating,2016-01-13 18:01:21,User_31
Application_428409768,O_Accepted,2016-01-14 09:00:14,User_90
Application_428409768,A_Pending,2016-01-14 09:00:14,User_90
Application_1746793196,A_Create Application,2016-01-01 14:34:53,User_1
Application_1746793196,A_Submitted,2016-01-01 14:34:53,User_1
Application_1746793196,W_Handle leads,2016-01-02 11:06:04,User_17
Application_1746793196,W_Complete application,2016-01-04 19:23:02,User_19
Application_1746793196,A_Concept,2016-01-02 11:06:04,User_17
Application_1746793196,A_Accepted,2016-01-04 19:15:59,User_19
Application_1746793196,O_Create Offer,2016-01-04 19:19:15,User_19
Application_1746793196,O_Created,2016-01-04 19:19:17,User_19
Application_1746793196,O_Sent (mail and online),2016-01-04 19:23:02,User_19
Application_1746793196,W_Call after offers,2016-01-04 19:23:02,User_19
Application_1746793196,A_Complete,2016-01-04 19:23:02,User_19
Application_1746793196,O_Create Offer,2016-01-09 11:48:22,User_12
Application_1746793196,O_Created,2016-01-09 11:48:23,User_12
Application_1746793196,O_Sent (mail and online),2016-01-09 11:48:33,User_12
Application_1746793196,W_Validate application,2016-01-28 11:18:39,User_95
Application_1746793196,A_Validating,2016-01-25 15:37:29,User_119
Application_1746793196,O_Returned,2016-01-25 15:37:59,User_119
Application_1746793196,W_Call incomplete files,2016-01-26 10:42:09,User_114
Application_1746793196,A_Incomplete,2016-01-26 10:42:09,User_114
Application_1746793196,W_Validate application,2016-01-28 14:18:51,User_95
Application_1746793196,A_Validating,2016-01-27 12:57:57,User_118
Application_1746793196,W_Call incomplete files,2016-01-28 11:18:39,User_95
Application_1746793196,A_Incomplete,2016-01-28 11:18:39,User_95
Application_1746793196,W_Validate application,2016-01-28 13:56:13,User_116
Application_1746793196,A_Validating,2016-01-28 13:56:13,User_116
Application_1746793196,O_Accepted,2016-01-28 14:18:51,User_95
Application_1746793196,A_Pending,2016-01-28 14:18:51,User_95
Application_1746793196,O_Cancelled,2016-01-28 14:18:51,User_95
Application_828200680,A_Create Application,2016-01-01 15:00:04,User_1
Application_828200680,A_Submitted,2016-01-01 15:00:04,User_1
Application_828200680,A_Concept,2016-01-01 15:01:44,User_1
Application_828200680,W_Complete application,2016-01-02 13:43:56,User_19
Application_828200680,A_Accepted,2016-01-02 13:40:45,User_19
Application_828200680,O_Create Offer,2016-01-02 13:42:23,User_19
Application_828200680,O_Created,2016-01-02 13:42:25,User_19
Application_828200680,O_Sent (mail and online),2016-01-02 13:43:56,User_19
Application_828200680,W_Call after offers,2016-01-02 13:43:56,User_19
Application_828200680,A_Complete,2016-01-02 13:43:56,User_19
Application_828200680,A_Cancelled,2016-02-02 09:00:20,User_1
Application_828200680,O_Cancelled,2016-02-02 09:00:20,User_1
Application_1085880569,A_Create Application,2016-01-01 15:05:19,User_1
Application_1085880569,A_Submitted,2016-01-01 15:05:19,User_1
Application_1085880569,A_Concept,2016-01-01 15:06:26,User_1
Application_1085880569,W_Complete application,2016-01-02 13:45:11,User_17
Application_1085880569,A_Accepted,2016-01-02 13:40:28,User_17
Application_1085880569,O_Create Offer,2016-01-02 13:43:26,User_17
Application_1085880569,O_Created,2016-01-02 13:43:27,User_17
Application_1085880569,O_Sent (mail and online),2016-01-02 13:45:11,User_17
Application_1085880569,W_Call after offers,2016-01-02 13:45:11,User_17
Application_1085880569,A_Complete,2016-01-02 13:45:11,User_17
Application_1085880569,O_Create Offer,2016-01-29 11:35:42,User_8
Application_1085880569,O_Created,2016-01-29 11:35:44,User_8
Application_1085880569,O_Sent (mail and online),2016-01-29 11:35:55,User_8
Application_1085880569,A_Cancelled,2016-02-29 09:00:48,User_1
Application_1085880569,O_Cancelled,2016-02-29 09:00:48,User_1
Application_1085880569,O_Cancelled,2016-02-29 09:00:48,User_1
Application_1266995739,A_Create Application,2016-01-01 15:22:19,User_1
Application_1266995739,A_Submitted,2016-01-01 15:22:19,User_1
Application_1266995739,A_Concept,2016-01-01 15:23:29,User_1
Application_1266995739,W_Complete application,2016-01-02 13:46:28,User_19
Application_1266995739,A_Accepted,2016-01-02 15:35:32,User_3
Application_1266995739,O_Create Offer,2016-01-02 15:38:19,User_3
Application_1266995739,O_Created,2016-01-02 15:38:20,User_3
Application_1266995739,O_Sent (mail and online),2016-01-02 15:38:31,User_3
Application_1266995739,W_Call after offers,2016-01-02 15:38:31,User_3
Application_1266995739,A_Complete,2016-01-02 15:38:31,User_3
Application_1266995739,W_Validate application,2016-01-08 11:21:19,User_113
Application_1266995739,A_Validating,2016-01-08 11:21:20,User_113
Application_1266995739,O_Returned,2016-01-08 11:21:27,User_113
Application_1266995739,W_Call incomplete files,2016-01-08 14:46:40,User_100
Application_1266995739,A_Incomplete,2016-01-08 14:46:40,User_100
Application_1266995739,A_Cancelled,2016-01-09 17:48:53,User_27
Application_1266995739,O_Cancelled,2016-01-09 17:48:53,User_27
Application_1878239836,A_Create Application,2016-01-01 15:35:26,User_1
Application_1878239836,A_Submitted,2016-01-01 15:35:26,User_1
Application_1878239836,A_Concept,2016-01-01 15:36:31,User_1
Application_1878239836,W_Complete application,2016-01-02 16:00:19,User_3
Application_1878239836,A_Accepted,2016-01-02 15:59:27,User_3
Application_1878239836,O_Create Offer,2016-01-02 15:59:59,User_3
Application_1878239836,O_Created,2016-01-02 16:00:01,User_3
Application_1878239836,O_Sent (mail and online),2016-01-02 16:00:19,User_3
Application_1878239836,W_Call after offers,2016-01-02 16:00:20,User_3
Application_1878239836,A_Complete,2016-01-02 16:00:20,User_3
Application_1878239836,W_Validate application,2016-01-11 11:30:53,User_99
Application_1878239836,A_Validating,2016-01-08 12:08:50,User_113
Application_1878239836,O_Returned,2016-01-08 12:09:09,User_113
Application_1878239836,A_Denied,2016-01-11 11:30:52,User_99
Application_1878239836,O_Refused,2016-01-11 11:30:52,User_99
Application_619403287,A_Create Application,2016-01-01 16:13:16,User_1
Application_619403287,A_Submitted,2016-01-01 16:13:16,User_1
Application_619403287,A_Concept,2016-01-01 16:14:33,User_1
Application_619403287,W_Complete application,2016-01-02 16:44:54,User_19
Application_619403287,A_Accepted,2016-01-02 16:32:24,User_19
Application_619403287,O_Create Offer,2016-01-02 16:41:07,User_19
Application_619403287,O_Created,2016-01-02 16:41:09,User_19
Application_619403287,O_Sent (mail and online),2016-01-02 16:44:54,User_19
Application_619403287,W_Call after offers,2016-01-02 16:44:54,User_19
Application_619403287,A_Complete,2016-01-02 16:44:54,User_19
Application_619403287,W_Validate application,2016-01-11 12:05:54,User_118
Application_619403287,A_Validating,2016-01-11 12:05:55,User_118
Application_619403287,O_Returned,2016-01-11 12:07:25,User_118
Application_619403287,W_Call incomplete files,2016-01-12 12:00:09,User_100
Application_619403287,A_Incomplete,2016-01-12 12:00:09,User_100
Application_619403287,O_Accepted,2016-01-22 10:03:30,User_119
Application_619403287,A_Pending,2016-01-22 10:03:30,User_119
Application_1710223761,A_Create Application,2016-01-01 16:23:21,User_1
Application_1710223761,A_Submitted,2016-01-01 16:23:21,User_1
Application_1710223761,A_Concept,2016-01-01 16:24:54,User_1
Application_1710223761,W_Complete application,2016-01-02 16:29:42,User_17
Application_1710223761,A_Accepted,2016-01-02 17:48:12,User_3
Application_1710223761,O_Create Offer,2016-01-02 17:50:34,User_3
Application_1710223761,O_Created,2016-01-02 17:50:35,User_3
Application_1710223761,O_Sent (mail and online),2016-01-02 17:50:48,User_3
Application_1710223761,W_Call after offers,2016-01-02 17:50:48,User_3
Application_1710223761,A_Complete,2016-01-02 17:50:48,User_3
Application_1710223761,A_Cancelled,2016-02-02 09:00:34,User_1
Application_1710223761,O_Cancelled,2016-02-02 09:00:34,User_1
Application_1529124572,A_Create Application,2016-01-01 16:42:36,User_1
Application_1529124572,A_Submitted,2016-01-01 16:42:36,User_1
Application_1529124572,A_Concept,2016-01-01 16:43:30,User_1
Application_1529124572,W_Complete application,2016-01-04 17:53:48,User_31
Application_1529124572,A_Accepted,2016-01-04 17:44:35,User_31
Application_1529124572,O_Create Offer,2016-01-04 17:52:37,User_31
Application_1529124572,O_Created,2016-01-04 17:52:38,User_31
Application_1529124572,O_Sent (mail and online),2016-01-04 17:53:48,User_31
Application_1529124572,W_Call after offers,2016-01-04 17:53:48,User_31
Application_1529124572,A_Complete,2016-01-04 17:53:48,User_31
Application_1529124572,W_Validate application,2016-01-26 12:44:36,User_112
Application_1529124572,A_Validating,2016-01-26 12:44:37,User_112
Application_1529124572,O_Returned,2016-01-26 12:44:57,User_112
Application_1529124572,W_Call incomplete files,2016-01-26 13:17:29,User_100
Application_1529124572,A_Incomplete,2016-01-26 13:17:29,User_100
Application_1529124572,W_Validate application,2016-01-26 17:02:48,User_114
Application_1529124572,A_Validating,2016-01-26 17:02:48,User_114
Application_1529124572,O_Accepted,2016-01-27 11:25:38,User_75
Application_1529124572,A_Pending,2016-01-27 11:25:38,User_75
Application_387012864,A_Create Application,2016-01-01 18:00:01,User_1
Application_387012864,A_Submitted,2016-01-01 18:00:01,User_1
Application_387012864,A_Concept,2016-01-01 18:01:36,User_1
Application_387012864,W_Complete application,2016-01-02 16:46:43,User_17
Application_387012864,A_Accepted,2016-01-02 16:40:57,User_17
Application_387012864,O_Create Offer,2016-01-02 16:45:25,User_17
Application_387012864,O_Created,2016-01-02 16:45:26,User_17
Application_387012864,O_Sent (mail and online),2016-01-02 16:46:43,User_17
Application_387012864,W_Call after offers,2016-01-02 16:46:43,User_17
Application_387012864,A_Complete,2016-01-02 16:46:43,User_17
Application_387012864,A_Cancelled,2016-02-02 09:00:36,User_1
Application_387012864,O_Cancelled,2016-02-02 09:00:36,User_1
Application_1120819670,A_Create Application,2016-01-01 18:22:50,User_1
Application_1120819670,A_Submitted,2016-01-01 18:22:50,User_1
Application_1120819670,A_Concept,2016-01-01 18:23:36,User_1
Application_1120819670,A_Accepted,2016-01-02 11:52:01,User_17
Application_1120819670,O_Create Offer,2016-01-02 11:55:46,User_17
Application_1120819670,O_Created,2016-01-02 11:55:47,User_17
Application_1120819670,O_Sent (mail and online),2016-01-02 11:59:50,User_17
Application_1120819670,W_Call after offers,2016-01-02 11:59:50,User_17
Application_1120819670,A_Complete,2016-01-02 11:59:50,User_17
Application_1120819670,W_Validate application,2016-01-11 11:42:07,User_95
Application_1120819670,A_Validating,2016-01-08 11:55:33,User_116
Application_1120819670,O_Returned,2016-01-08 12:00:24,User_116
Application_1120819670,W_Call incomplete files,2016-01-08 17:20:19,User_95
Application_1120819670,A_Incomplete,2016-01-08 17:20:19,User_95
Application_1120819670,W_Validate application,2016-01-11 10:54:35,User_119
Application_1120819670,A_Validating,2016-01-11 10:54:35,User_119
Application_1120819670,O_Accepted,2016-01-11 11:42:07,User_95
Application_1120819670,A_Pending,2016-01-11 11:42:07,User_95
Application_42838382,A_Create Application,2016-01-01 18:58:48,User_1
Application_42838382,A_Submitted,2016-01-01 18:58:48,User_1
Application_42838382,A_Concept,2016-01-01 18:59:29,User_1
